country,source,date,title,summary,agency,url
US,Federal Register,2025-12-01,Receipt of Pesticide Petitions Filed for Residues of Pesticide Chemicals in or on Various Commodities-September 2025,"This document announces the Agency's receipt of and solicits public comment on initial filings of pesticide petitions requesting the establishment or modification of regulations for residues of pesticide chemicals in or on various commodities. The Agency is providing this notice in accordance with the Federal Food, Drug, and Cosmetic Act (FFDCA). EPA uses the month and year in the title to identify when the Agency compiled the petitions identified in this notice of filing. Unit II. of this document identifies certain petitions received in 2024, that are currently being evaluated by EPA, along with information about each petition, including who submitted the petition and the requested action.","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/12/01/2025-21679/receipt-of-pesticide-petitions-filed-for-residues-of-pesticide-chemicals-in-or-on-various
US,Federal Register,2025-11-28,Hazardous and Solid Waste Management System: Disposal of Coal Combustion Residuals From Electric Utilities; Extension of an Alternative Closure Requirement Deadline,"The Environmental Protection Agency (EPA or the Agency) is proposing to extend, by three years, one compliance deadline applicable to certain coal combustion residuals (CCR) surface impoundments operating pursuant to the alternative closure requirements. Specifically, EPA is extending the deadline for owners and operators to complete closure of their unlined CCR surface impoundments larger than 40 acres from October 17, 2028, to October 17, 2031. This deadline extension will promote electric grid reliability by allowing a subset of coal-fired power producers to continue to operate beyond their currently scheduled retirement date.","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/28/2025-21597/hazardous-and-solid-waste-management-system-disposal-of-coal-combustion-residuals-from-electric
US,Federal Register,2025-11-28,Air Plan Approval; Virginia; Repeal of Existing Stationary Source Regulations,"The Environmental Protection Agency (EPA) is proposing to approve a state implementation plan (SIP) revision (Revision B23) submitted by the Commonwealth of Virginia. The revision seeks to remove two existing stationary sources regulations, emission standards for petroleum refinery operations and emissions standards for large appliance coating application systems, from Virginia's SIP as there are no longer any applicable sources in Virginia. This action is being taken under the Clean Air Act (CAA).","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/28/2025-21557/air-plan-approval-virginia-repeal-of-existing-stationary-source-regulations
US,Federal Register,2025-11-28,Air Plan Approval; Connecticut; New Source Review Permit Program State Plan Revision,"The Environmental Protection Agency (EPA) is proposing to approve a State Implementation Plan (SIP) revision submitted by the State of Connecticut. This action consists of revisions to Connecticut's New Source Review (NSR) permit program, primarily to clarify applicability for stationary sources in nonattainment areas. This action is being taken under the Clean Air Act (CAA).","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/28/2025-21413/air-plan-approval-connecticut-new-source-review-permit-program-state-plan-revision
US,Federal Register,2025-11-28,"Air Plan Approval; Missouri; Reporting Emission Data, Emission Fees, and Process Information","The Environmental Protection Agency (EPA) is proposing approval of revisions to the Missouri State Implementation Plan (SIP), and Operating Permits Program related to Reporting Emission Data, Emission Fees, and Process Information. The revisions set emission fees and a base fee for calendar years 2025-2028 and beyond, add 1- Bromopropane to the category 1 Hazardous Air Pollutant list in table 1, update two publication dates for material that is incorporated by reference and make minor administrative changes to the rule. These revisions do not impact the stringency of the SIP or have an adverse effect on air quality. The EPA's proposed approval of this rule revision is being done in accordance with the requirements of the Clean Air Act (CAA).","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/28/2025-21346/air-plan-approval-missouri-reporting-emission-data-emission-fees-and-process-information
US,Federal Register,2025-11-26,Air Plan Approval; Ohio; Emergency Episodes and Ambient Air Quality Standards,"The Environmental Protection Agency (EPA) is proposing to approve amendments to Ohio Administrative Code (OAC) Chapter 3745-25, Emergency Episodes and Ambient Air Quality Standards, into Ohio's State Implementation Plan (SIP). The amendments to the rule include minor style changes, correct typographical errors, and update publication and referenced material titles, effective dates, and addresses.","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/26/2025-21321/air-plan-approval-ohio-emergency-episodes-and-ambient-air-quality-standards
US,Federal Register,2025-11-24,Review of National Emission Standards for Hazardous Air Pollutants From Secondary Lead Smelting Technology Review; Reopening of Comment Period,"On October 1, 2025, the U.S. Environmental Protection Agency (EPA) proposed a rule titled ""National Emission Standards for Hazardous Air Pollutants from Secondary Lead Smelting Technology Review."" The EPA is reopening the comment period on this proposed rule, which closed on November 17, 2025. The comment period will now end on December 8, 2025, to allow additional time for stakeholders to review and comment on the proposal.","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/24/2025-20753/review-of-national-emission-standards-for-hazardous-air-pollutants-from-secondary-lead-smelting
US,Federal Register,2025-11-21,Air Plan Approval; Indiana; Second Maintenance Plan for 2008 Ozone NAAQS,"The Environmental Protection Agency (EPA) is proposing to approve a revision to the Indiana State Implementation Plan (SIP). On April 1, 2025, the Indiana Department of Environmental Management (IDEM) submitted a revision to the State's plan for maintaining the 2008 ozone National Ambient Air Quality Standard (NAAQS or standard) in the Indiana portion of the Cincinnati, Ohio-Kentucky-Indiana area. EPA is proposing to approve this maintenance plan because it provides for the maintenance of the 2008 ozone NAAQS for the area for 10 additional years as required by the Clean Air Act (CAA). EPA is also initiating the adequacy review process for motor vehicle emission budgets (Budgets) for the area. This action, if finalized, would make certain commitments related to maintenance of the 2008 ozone NAAQS in this area federally enforceable as part of the Indiana SIP.","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/21/2025-20672/air-plan-approval-indiana-second-maintenance-plan-for-2008-ozone-naaqs
US,Federal Register,2025-11-20,Air Plan Approval; New York; Athens Generating Plant,"The Environmental Protection Agency (EPA) is proposing to approve a revision to the State of New York's State Implementation Plan (SIP) for the ozone National Ambient Air Quality Standard (NAAQS) related to a Source-specific SIP (SSSIP) revision for the Athens Generating Plant, located at 9300 US Route 9 West, Athens, NY 12015 (""Athens"" or ""the Facility""). The EPA is proposing to find that the control options in this SSSIP revision implement Reasonably Available Control Technology (RACT) with respect to Oxides of Nitrogen (NO<INF>X</INF>) emissions from the relevant Facility sources, which are identified as three combined-cycle Westinghouse model 501G combustion turbines with associated heat recovery steam generators and steam turbines (identified as Emission Units U-00001, U-00002, and U- 00003 in the Facility's Title V permit and New York's submission). This SSSIP revision is intended to implement NOx RACT for the relevant Facility sources in accordance with the requirements for implementation of the 2008 and 2015 ozone NAAQS. The EPA proposes to determine that this action will not interfere with ozone NAAQS requirements and that it meets all applicable requirements of the Clean Air Act (CAA).","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/20/2025-20499/air-plan-approval-new-york-athens-generating-plant
US,Federal Register,2025-11-20,Air Plan Approval; Maine; Chapter 140: Part 70 Air Emission License Regulation,"The Environmental Protection Agency (EPA) is proposing to approve a Clean Air Act (CAA) operating permit program revision submitted by the State of Maine. The revisions include minor changes to Maine's operating permit program that are considered clarifications, that correct grammar, that codify longstanding practices, or that are necessary to utilize an expected future electronic application system. The revisions also include provisions allowing the public comment period on a draft permit to run concurrently with EPA's review of a proposed permit. The intended effect of EPA's action is to propose approval of Maine's revisions. This action is being taken under the CAA.","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",https://www.federalregister.gov/documents/2025/11/20/2025-20498/air-plan-approval-maine-chapter-140-part-70-air-emission-license-regulation
